item_id,buyer_id,purchase_date
2DS61,8DO01,2022-03-25
TLK9K,T9ZSG,2022-09-04
7D3PZ,F95B8,2022-09-16
4IBZ1,8NP1J,2022-03-12
YCIGI,AI784,2022-09-05
EAOS9,9BCRK,2022-02-06
TQEAU,GWCEK,2022-10-06
AOIBW,GVAJV,2022-10-13
QBO0V,J05YP,2022-10-02
A0VN9,89PH1,2022-06-10
IBMNJ,29J0D,2022-07-20
ERP4W,ILUVK,2022-09-20
GUKJ5,LN19C,2022-06-15
Y3XA9,C6XFV,2022-10-06
GS39K,HL4LT,2022-05-10
A3FNT,QDZA0,2022-09-24
3QBH9,PPAEN,2022-08-15
6K54R,SIX5R,2022-10-17
K85RF,VY1PC,2022-10-02
0TMEN,MFFZT,2022-09-19
UQI4C,VYFEW,2022-09-09
HZY77,4V1BK,2022-08-04
F5DE2,08NIU,2022-09-24
SLGWH,MCYKS,2022-09-13
GQIKI,DZ83S,2022-09-18
G2W79,48WSF,2022-10-22
DEAQN,NWBZ2,2022-09-26
EAG17,D5WMR,2022-10-04
ZN492,BU4WM,2022-06-23
SUWI1,GCVCB,2022-10-19
A4D5Z,FUXGY,2022-10-13
WMTTJ,2J3VC,2022-09-13
YFAT8,DRS4Z,2022-10-26
IZQ4T,81H5E,2022-10-21
GOLS1,RGJQ2,2022-08-08
T7ZIJ,D4ZWD,2022-10-26
BRGOP,J454Y,2022-10-10
ZDJ5J,DX4HK,2022-09-26
MGYBC,MMR8C,2022-10-25
N2LC5,VLADK,2022-06-09
NO7E9,2NR1Z,2022-10-18
1INO4,JSUMG,2022-10-29
QYR18,TWDIW,2022-08-14
BAK0R,DTEM6,2022-06-09
2XIBM,ETGJX,2022-07-03
ZCZOB,8HANL,2022-04-08
9TMLV,VF0E6,2022-08-17
WZFBO,IRPKN,2022-10-29
PD8NX,DW9X3,2022-09-23
4GP4B,34CO5,2022-08-27
ZA0MC,YTQBP,2022-08-07
NJLJ8,X7H0W,2022-10-12
Y46O9,T7C4Q,2022-08-03
UGQFT,VSVVE,2022-04-10
H0LBB,OEVFB,2022-10-03
4SGT8,1LDDF,2022-05-24
3XGCO,NVLEE,2022-08-16
5C8TU,Z5DB2,2022-05-31
G8KW4,HSHEJ,2022-10-25
AOREC,JEF0X,2022-07-17
CHKNO,3Y8CK,2022-07-24
BBFPG,9277X,2022-10-08
M5CMB,ERS0B,2022-08-20
9IWTH,9H7FL,2022-09-19
TMQ3L,ZT599,2022-05-08
7N8JR,VIKEF,2022-04-26
AN7RV,WOLNS,2022-10-25
EFB6O,HVI7L,2022-10-13
4KF59,P8PE4,2022-10-25
K27EV,2F0J7,2022-09-12
