item_id,category,description,name,price
WN6IS,Pet Supplies,For your lovely pet,Pet Grooming,1445.77
KV1DG,"Clothing, Shoes & Jewelry",Machine Wash,Tshirt,1032.59
CEOIC,Others,,Nail Paint,873.72
NOF67,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,Mats,1701.89
L3H4W,Home & Kitchen,,Bowls,1428.15
FLXDL,Office Products,For everyday office use,Pen,724.20
EA352,Sports & Outdoors,Cushioning provides excellent shock absorption,Sports Shoes,1478.15
N2E19,Beauty & Personal Care,,Facewash,1877.19
W5DBR,"Arts, Crafts & Sewing",,Paint Brushes,1957.12
P8WKJ,"Clothing, Shoes & Jewelry",Machine Wash,Rings,91.28
Z1KAJ,Others,,Plants,1688.41
1JA6J,Sports & Outdoors,,Sports Shoes,1252.41
H84CU,Home & Kitchen,,Bowls,800.60
AU395,Home & Kitchen,,Can Opener,1911.31
J7SCA,Home & Kitchen,,Bowls,808.29
P4ZEQ,Beauty & Personal Care,Suitable for all skin types,Handwash,930.31
CS91C,"Clothing, Shoes & Jewelry",,Jacket,90.70
O5TRO,Beauty & Personal Care,,Facewash,858.35
W1RWZ,Beauty & Personal Care,Suitable for all skin types,Facewash,454.38
YY363,Toys & Games,make a great gift for kids 3 to 7 years olds,Kite,344.48
CVK3Y,"Clothing, Shoes & Jewelry",,Boots,1464.51
1J5N2,"Arts, Crafts & Sewing",,Watercolor Pens,84.77
G71SV,Home & Kitchen,One of a kind stainless steel,Salad Spinner,1148.93
H1PCR,Home & Kitchen,,Mats,1549.53
Y0ROQ,Home & Kitchen,One of a kind stainless steel,Sauce Pots,280.84
QANLL,"Clothing, Shoes & Jewelry",Machine Wash,Jeans,88.30
JJCYH,"Clothing, Shoes & Jewelry",Machine Wash,Necklace,1801.28
GPBCG,"Arts, Crafts & Sewing",,Easel,17.00
OL3U2,Pet Supplies,For your lovely pet,Leash And Collar,585.88
MMS71,Beauty & Personal Care,,Handwash,549.90
1QNHK,"Arts, Crafts & Sewing",,Paint Brushes,1354.40
GG5P7,Home & Kitchen,,Bowls,1461.67
2DS61,Sports & Outdoors,100% Synthetic,Badminton Racket,1567.14
FXAST,Sports & Outdoors,,Hat,460.73
6IF6C,"Arts, Crafts & Sewing",,Oil Paints,386.87
X6QZ8,Sports & Outdoors,,Hat,629.42
TLK9K,Beauty & Personal Care,Suitable for all skin types,Bath Soap,1680.93
RVLZQ,Others,for everyday use,Notebook,1595.72
U5V46,Electronics,"【Display and Graphics】17.3 diagonal, FHD ",Mobile,689.57
HD377,Sports & Outdoors,Cushioning provides excellent shock absorption,Hat,1985.72
7CT21,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,Knives,1172.80
6WPC0,Pet Supplies,For your lovely pet,Leash And Collar,397.31
GR5XS,Office Products,For everyday office use,Sticky Notes,1180.90
E3LEH,Electronics,,Laptop Stand,161.29
SBE3R,"Clothing, Shoes & Jewelry",,Rings,1642.57
GC9F1,Others,for everyday use,Notebook,1501.40
7D3PZ,"Arts, Crafts & Sewing",Set of 10,Canvas,242.47
ASGVF,Sports & Outdoors,,Hat,1333.80
P5851,"Arts, Crafts & Sewing",,Paint Brushes,1609.37
4IBZ1,Toys & Games,,Barbie,192.32
FGIRP,"Clothing, Shoes & Jewelry",,Hoodie,1986.71
XVQ6O,Home & Kitchen,One of a kind stainless steel,Mats,489.16
QM9C9,Beauty & Personal Care,,Serum,1238.77
42GKH,Pet Supplies,,Water and Food Bowls,1333.67
N9ZUR,Office Products,For everyday office use,Pencil,1555.70
8QWWQ,"Arts, Crafts & Sewing",Set of 12,Acrylic Paints,1070.95
JFUNC,Toys & Games,make a great gift for kids 3 to 7 years olds,Teddy Bear,1014.68
XEQNI,Pet Supplies,For your lovely pet,Leash And Collar,834.67
1DCCP,"Arts, Crafts & Sewing",Set of 12,Oil Paints,352.58
NHSXD,Electronics,"【Display and Graphics】17.3 diagonal, FHD ",Ipad,1283.16
5YR3V,Toys & Games,make a great gift for kids 3 to 7 years olds,Barbie,462.35
XNFUA,Pet Supplies,For your lovely pet,Pet Grooming,920.89
5YRO9,Sports & Outdoors,Cushioning provides excellent shock absorption,Hat,1441.25
Y7WR8,Pet Supplies,For your lovely pet,Pet Grooming,1911.54
V08TN,Pet Supplies,,Pet Bed,685.61
3TBV8,Pet Supplies,,Pet Grooming,553.57
QIFHM,Sports & Outdoors,,Badminton Racket,398.60
TCM7S,Office Products,,Sticky Notes,1005.84
4D0LB,Pet Supplies,For your lovely pet,Leash And Collar,1245.00
IPKWV,Office Products,For everyday office use,Marker,847.43
IDTQO,Pet Supplies,For your lovely pet,Pet Grooming,1254.63
KGXWS,Beauty & Personal Care,,Toothpaste,45.18
V1GC5,"Arts, Crafts & Sewing",Set of 10,Watercolor Pens,1489.35
X731M,Pet Supplies,,Leash And Collar,1959.49
MA6TG,Sports & Outdoors,Cushioning provides excellent shock absorption,Sports Shoes,1969.47
H2DRJ,Sports & Outdoors,,Hat,1941.72
NZ49B,Electronics,"【Display and Graphics】17.3 diagonal, FHD ",Laptop Stand,401.48
XQ007,Beauty & Personal Care,Suitable for all skin types,Facewash,215.39
6DZN1,Toys & Games,make a great gift for kids 3 to 7 years olds,Kite,458.93
RTZXP,Toys & Games,"Unbox the package to find a soft, plush, sparkly doll!",Hot Wheels,1079.85
DU4D5,"Clothing, Shoes & Jewelry",Machine Wash,Necklace,126.46
2MAMO,"Arts, Crafts & Sewing",Set of 12,Canvas,1420.95
QWPZW,Sports & Outdoors,100% Synthetic,Hat,1963.27
RU8L8,"Arts, Crafts & Sewing",,Oil Paints,1887.40
4PHIJ,Office Products,For everyday office use,Sticky Notes,1569.58
CV9PO,"Arts, Crafts & Sewing",,Acrylic Paints,381.12
D4IM1,Others,for everyday use,Notebook,1096.55
