buyer_id,seller_id,delivery,pricing,quality,rating_date
55M8O,U29GK,3,,,2022-07-18
DG4JB,MQBSG,2,,,2022-07-08
DG4JB,CJZRT,,,,2022-06-07
OYWI5,Z6UIX,,4,,2022-03-26
OYWI5,UVBIT,,,,2022-07-16
OYWI5,PRBZA,,,,2022-02-24
1IN21,AXYFV,4,3,1,2022-04-20
1IN21,5PQAC,1,1,,2022-10-21
ZHZW5,JCCF8,,,,2022-04-08
XAEMH,BQ74R,,5,1,2022-07-26
XAEMH,0V5C9,,4,,2022-10-01
BLIBV,X9W2Z,,,,2022-05-01
40KS6,XU609,3,,2,2022-01-29
8XKTJ,Z49UX,5,,,2022-05-09
8XKTJ,6F0TV,,3,1,2022-08-06
PW40B,E9K7C,,2,3,2022-08-26
PW40B,L18JT,,,4,2022-09-06
YM05M,IBCNI,,5,4,2022-08-03
YM05M,K5CLT,,4,,2022-07-05
IJBH1,SGSRE,,,5,2022-07-22
TGLI2,8EBHM,,,,2022-01-25
TGLI2,G9Q2G,2,1,,2022-08-02
NQ2V5,IJI6N,2,,,2022-10-03
NQ2V5,6PA04,,,5,2022-08-31
EDSO3,SGSRE,3,,2,2022-01-01
EDSO3,61A69,,,1,2022-08-26
EDSO3,6NS86,,5,2,2022-07-11
ILH54,3M1YI,2,2,,2022-05-10
ILH54,1MXH9,,1,,2022-10-11
TLGJQ,DNCLE,,,,2022-05-07
ZNF0R,H7FKP,,2,,2022-08-09
ZNF0R,SEOMV,,3,4,2022-03-28
VR7T2,DI0C5,,,,2022-06-23
VR7T2,6P3VN,4,5,,2022-02-05
F9R3A,YAK94,1,,,2022-07-10
H5KYO,3QPJE,4,,,2022-02-12
H5KYO,C0UHU,4,,5,2022-04-28
H5KYO,Y4HF3,5,,,2022-08-03
PFO1U,FZ6BO,1,1,5,2022-10-02
PFO1U,SB3L6,,,,2022-02-18
DGIQS,WDR82,4,4,,2022-05-10
DGIQS,4FD3N,,4,,2022-07-29
KGX0O,QMNGC,,1,4,2022-04-22
1OQRH,7CIPO,,5,,2022-05-04
1OQRH,PBHFC,5,,1,2022-08-12
1OQRH,OREG1,5,2,4,2022-04-05
YY9SM,87CKX,,,5,2022-04-23
V8GKC,51WHM,,,,2022-03-14
V8GKC,T40C2,1,,,2022-08-26
S1V3H,VJL5E,2,,3,2022-04-11
34K6O,OE791,5,4,,2022-02-01
34K6O,HQSNA,,5,,2022-09-29
XLZ45,9CR7S,,,,2022-06-01
E5UW1,QWAWV,5,,,2022-10-01
E5UW1,Y1GW1,,,,2022-07-23
1HZAS,FYQCT,1,,,2022-07-22
1HZAS,OFOQB,,,4,2022-04-02
1HZAS,HGTUB,,1,,2022-03-25
XK3GJ,UADIT,,,,2022-08-14
GT3TI,MABWW,,1,,2022-07-11
WLPL6,OFOQB,,4,4,2022-05-06
MDCRW,C8HL5,,,,2022-07-08
MDCRW,UHYY9,5,3,,2022-09-02
P34SI,85TQL,,,,2022-03-15
P34SI,CTMHY,,,2,2022-04-05
X3L0S,TYD9O,,4,1,2022-01-07
X3L0S,08KUN,,4,,2022-10-12
X3L0S,T40C2,2,,,2022-04-16
WIWT3,XZJXD,,2,2,2022-02-15
WIWT3,HQSNA,,,5,2022-10-01
WIWT3,231ZN,,2,,2022-03-27
SRXC0,BBHBZ,2,,,2022-03-08
SRXC0,HSQAJ,5,4,1,2022-05-10
YE3NU,519G2,,,4,2022-06-15
CC7BL,WUSF0,,,,2022-02-26
CC7BL,9FJ8S,4,3,2,2022-03-26
IHE8P,XMWLA,,2,3,2022-08-11
IHE8P,CZ859,,,,2022-09-04
FQGYY,SW1FA,,3,4,2022-08-22
FQGYY,U3D5E,3,2,,2022-09-22
8DXG1,BX2PI,,,,2022-01-29
8DXG1,D73LI,,4,,2022-02-18
3200F,KGD5Z,3,,4,2022-03-15
05TT7,3LLAJ,4,,,2022-02-05
05TT7,V20LN,5,,1,2022-02-15
XE0RZ,DZC76,,5,,2022-03-13
XE0RZ,IBCNI,,,,2022-10-06
5EICG,JY3X4,,,2,2022-02-18
5EICG,PV7VX,5,,,2022-03-23
ER7HT,61A69,,,,2022-09-21
5XGBY,QX1AY,3,,,2022-06-15
6Z0GW,RJWPA,,,,2022-08-30
6Z0GW,ZTLSE,,,,2022-04-11
NEW1K,QMHWG,2,4,,2022-01-28
GFNR1,61A69,1,,4,2022-09-09
GFNR1,BHDQW,,,,2022-04-27
HBAFR,QQB6Q,,,,2022-06-19
HBAFR,J83G9,,,3,2022-03-12
QS8TO,Y4HF3,,,,2022-07-15
QS8TO,4PJSD,,,1,2022-07-01
QS8TO,QLECR,1,2,2,2022-01-16
U4LP6,JWXSS,1,,,2022-08-20
8AQG4,E189I,,,,2022-06-01
THO1P,0QEPM,4,,,2022-05-20
JMFY4,0YU61,5,,,2022-09-19
LT1QA,3KFLS,,,,2022-01-23
8XTIF,KR138,,,,2022-03-04
8XTIF,FQUO1,,4,4,2022-05-13
8XTIF,QWAWV,1,,,2022-07-25
YWTAO,4Z5VC,,,,2022-04-08
YWTAO,426K8,,1,,2022-02-15
YWTAO,PB6Z6,,,4,2022-08-20
VN9RX,36SYH,5,3,,2022-06-21
VN9RX,ZB7CT,1,1,4,2022-09-16
VN9RX,MQBSG,,,3,2022-03-09
ELMVL,V1RZB,,1,5,2022-01-06
ELMVL,WSHUH,2,5,,2022-09-22
0MSFY,P35EW,5,,,2022-06-09
0MSFY,T02WF,,,,2022-08-10
0MSFY,6FWZI,,,2,2022-07-17
RK6DU,WDR82,,2,5,2022-05-01
RK6DU,Z0LJU,3,5,,2022-09-10
3XNZ1,VPIG7,,,,2022-05-31
RBP64,9FJ8S,,1,,2022-09-26
LO0YU,CTMHY,,5,,2022-01-05
LO0YU,3KFLS,5,,,2022-06-27
LO0YU,7ERSM,1,,2,2022-10-15
BJTDP,SZXQH,2,,,2022-01-31
BJTDP,3S3MN,,4,1,2022-05-11
BJTDP,L3VKI,,,,2022-10-15
CSD0V,TJ6FX,4,5,4,2022-04-20
P027C,NKKLD,3,,2,2022-10-23
BKV8V,U4K0S,3,,,2022-07-07
BKV8V,1149O,1,,5,2022-05-17
M2S46,GKTCF,,3,2,2022-04-22
MCYKS,SHGFE,1,,1,2022-08-18
MCYKS,C9XKL,4,,,2022-09-04
MCYKS,4VDK3,,,,2022-08-30
P6VUR,CJZRT,,,5,2022-02-21
