item_id,seller_id,list_date
WN6IS,XZJXD,2022-05-30
KV1DG,G9Q2G,2022-03-26
CEOIC,Z0LJU,2022-08-02
NOF67,ME7DC,2022-10-11
L3H4W,PINBW,2022-03-28
FLXDL,3QPJE,2022-05-04
EA352,1E2BT,2022-09-13
N2E19,87CKX,2022-07-05
W5DBR,G558B,2022-07-11
P8WKJ,KGD5Z,2022-09-07
Z1KAJ,AWFGJ,2022-05-19
1JA6J,KR138,2022-02-14
H84CU,CA969,2022-04-16
AU395,CCMQG,2022-09-04
J7SCA,87CKX,2022-08-22
P4ZEQ,R5OOD,2022-08-12
CS91C,8MZDC,2022-01-15
O5TRO,MRY5A,2022-03-27
W1RWZ,D7CK2,2022-05-17
YY363,1VPD1,2022-03-12
CVK3Y,MK3V5,2022-03-07
1J5N2,P8DKB,2022-09-19
G71SV,6ZG2P,2022-10-26
H1PCR,SAZF9,2022-06-21
Y0ROQ,EGA3T,2022-09-13
QANLL,P0JA5,2022-09-19
JJCYH,FUR3X,2022-03-28
GPBCG,HH8AJ,2022-09-30
OL3U2,1E2BT,2022-08-23
MMS71,F1I7H,2022-01-06
1QNHK,W2FN3,2022-09-21
GG5P7,QXXKB,2022-05-03
2DS61,OZBPO,2022-02-07
FXAST,EBQH2,2022-08-05
6IF6C,DNCLE,2022-01-17
X6QZ8,BV5DO,2022-02-06
TLK9K,DPGAP,2022-05-21
RVLZQ,ZB7CT,2022-07-05
U5V46,D73LI,2022-04-30
HD377,Q17SE,2022-07-23
7CT21,SEOMV,2022-03-02
6WPC0,7ERSM,2022-02-08
GR5XS,FQUO1,2022-10-05
E3LEH,NJN0G,2022-06-17
SBE3R,20AR2,2022-02-16
GC9F1,3DEPB,2022-03-22
7D3PZ,BJLLH,2022-01-17
ASGVF,TJX73,2022-05-21
P5851,S3AB0,2022-07-22
4IBZ1,BSJMW,2022-01-14
FGIRP,CHM29,2022-02-02
XVQ6O,IJ61L,2022-01-16
QM9C9,ME7DC,2022-07-15
42GKH,LZAU3,2022-10-22
N9ZUR,LAAAV,2022-07-27
8QWWQ,YA5CE,2022-08-16
JFUNC,CHM29,2022-07-16
XEQNI,1H9CX,2022-01-25
1DCCP,9ZP9F,2022-09-06
NHSXD,YDQ24,2022-07-01
5YR3V,LHRYU,2022-08-21
XNFUA,BX2PI,2022-09-29
5YRO9,N7TIV,2022-09-23
Y7WR8,5XI94,2022-08-30
V08TN,Y1GW1,2022-10-17
3TBV8,EGA3T,2022-06-22
QIFHM,Z6UIX,2022-09-01
TCM7S,A0B31,2022-06-11
4D0LB,K3VTH,2022-01-12
IPKWV,7VWUB,2022-05-23
IDTQO,Z0LJU,2022-02-17
KGXWS,TYD9O,2022-06-26
V1GC5,QX1AY,2022-02-09
X731M,N5X40,2022-08-14
MA6TG,5XI94,2022-02-27
H2DRJ,P8UOK,2022-04-02
NZ49B,AZQD3,2022-01-29
XQ007,JQY1C,2022-08-02
