item_id,frequency
KV1DG,yearly
FLXDL,once
W5DBR,yearly
P8WKJ,quarterly
1JA6J,weekly
H84CU,once
AU395,yearly
J7SCA,monthly
O5TRO,yearly
1J5N2,quarterly
G71SV,yearly
Y0ROQ,quarterly
QANLL,daily
GG5P7,weekly
2DS61,monthly
TLK9K,once
U5V46,daily
HD377,weekly
6WPC0,quarterly
GC9F1,daily
4IBZ1,weekly
XVQ6O,once
QM9C9,yearly
N9ZUR,quarterly
NHSXD,weekly
5YR3V,quarterly
XNFUA,daily
5YRO9,monthly
V08TN,once
3TBV8,once
TCM7S,quarterly
IPKWV,weekly
V1GC5,daily
X731M,daily
NZ49B,weekly
6DZN1,once
RTZXP,weekly
DU4D5,once
4PHIJ,daily
A84SY,weekly
QO90N,weekly
AXHYW,quarterly
EMTTB,daily
YCIGI,quarterly
PYGY9,daily
RAJQE,daily
PMG2K,quarterly
RM9A7,once
MXHUI,yearly
EAOS9,monthly
I7SX0,quarterly
PIHPZ,monthly
N9LIS,quarterly
6FME6,daily
MM3PJ,monthly
D7O6L,monthly
3BLQ4,monthly
ZA7ZF,weekly
HAPZ0,daily
L14C3,monthly
JD0UD,monthly
VD22L,monthly
0C6NK,daily
YN00B,monthly
2JBJM,once
HAEFF,monthly
VMGO3,monthly
G0T0N,yearly
JSDNR,once
SC1QX,quarterly
A0VN9,yearly
PKPEE,yearly
8AMVX,once
6X0RK,once
5LZMS,daily
S9DYD,quarterly
9IVS9,monthly
IBMNJ,once
RL4GH,weekly
WSMPK,daily
0GK95,weekly
6A9WS,daily
AKGF9,daily
WODHB,quarterly
WFCZ6,daily
F190V,daily
52PKP,once
TTXVM,weekly
X44ON,once
UWQLE,weekly
LRAQC,once
3LHR7,once
N5KKG,yearly
2QGSV,daily
GUKJ5,weekly
TCYWW,yearly
5PELH,daily
K22M7,quarterly
JDX4F,monthly
ENKHD,monthly
YLA7I,quarterly
VDNDG,daily
N938N,quarterly
POEEF,daily
ANM9V,yearly
VMDWA,yearly
9FRB4,weekly
V56WM,weekly
CW3VM,daily
RO1YJ,once
BWOQ1,daily
3U3ZL,quarterly
2K1SK,daily
8T422,monthly
X9N5O,daily
QDIXQ,weekly
PUQHH,yearly
C4G5P,monthly
5512V,monthly
GVJ87,weekly
7FD3N,daily
CGBJ6,daily
3QBH9,monthly
9G4LA,monthly
WIXMY,weekly
WBZ9K,once
ASSXS,weekly
BQFKL,quarterly
THRRU,yearly
9EU4G,quarterly
Q8IWV,quarterly
I080C,weekly
